authors,title,year,dric
"(1) I Dadzie, SA Avorgbedo, R Appiah-Opong, O Cudjoe",Cytotoxic and antioxidant effects of antimalarial herbal mixtures,2020,NO
"(3) P James, A Hayfron-Benjamine, M Abdulai, O Lasim, N Yvonne, ...","Predictors of HIV stigma among health workers in the Cape Coast metropolis, Ghana",2020,NO
"(2) J Prah, A Hayfron-Benjamine, M Abdulai, O Lasim, Y Nartey, ...","Predictors of HIV stigma among health workers in the Cape Coast metropolis, Ghana",2020,NO
"(2) B Ekumah, FA Armah, DO Yawson, R Quansah, FE Nyieku, SA Owusu, ...","Disparate on-site access to water, sanitation, and food storage heighten the risk of COVID-19 spread in Sub-Saharan Africa",2020,NO
"(2) DE Adzovie, AB Jibril, RH Adzovie, IE Nyieku",E-learning resulting from Covid-19 pandemic: A conceptual study from a developing country perspective,2020,NO
"(1) AR Afitiri, FA Armah, B Ekumah, FE Nyieku, DO Yawson, JO Odoi",Cumulative effects of environmental factors on household childhood diarrhoea in Ghana,2020,NO
"(1) FE Nyieku, HMK Essandoh, FA Armah, E Awuah",Joint influence of hydraulic load and hydraulic retention time on oilfields wastewater contaminant removal dynamics in free water surface flow constructed wetland,2020,NO
"(1) PNY Kwafoa, O Imoro",Library services for the visually impaired: Case study of academic libraries in Ghana,2020,NF
"(1) PNY Kwafoa, O Imoro",Library Services for the Visually Impaired: Case Study of Academic Libraries in Ghana.,2020,NF
"(2) M Ampah-Johnston, PNY Kwafoa","Impact of Library Automation on the Professional Development and Job Satisfaction of Staff: A Case Study of Sam Jonah Library, University of Cape Coast.",2020,NO
"(2) BK Avuglah, CM Owusu-Ansah, G Tachie-Donkor, EB Yeboah",Privacy issues in libraries with online services: Attitudes and concerns of academic librarians and university students in Ghana,2020,NO
"(2) E Martin-Yeboah, CK Filson, K Boohene","Towards institutional repository sustainability: lecturers awareness, patronage and content submission to the University of Cape coast repository",2020,NO
"(2) C Addei, CE Osei, T Addai-Mununkum",Coming of Age through War: Exploring Bildung in Adichie’s half of a Yellow Sun,2020,NO
"(1) JW Ansah, D Takyiakwaa, E Atakora, M Amoah","‘House to let’: housing agents, social networks and Ghana’s housing law and policy",2020,NO
"(2) C Nsiah-Asamoah, DT Doku, S Agblorti",Mothers’ and Grandmothers’ misconceptions and socio-cultural factors as barriers to exclusive breastfeeding: A qualitative study involving Health Workers in two rural districts …,2020,NO
"(2) RPK Andoh, R Appiah, PM Agyei","Postgraduate distance education in university of cape coast, Ghana: Students’ perspectives",2020,NO
"(1) RAK Awindaogo, I Ekem, NA Awuku, S Salia, M Agyei, YA Nartey, ...",Reversible hyperpigmentation in Vitamin B12 deficiency: an Addisonian mimic in clinical practice,2020,NO
"(1) D Ofosuhene, Z Sammo",Does Contract Employment Affect the Behaviour of Employees?,2020,NO
(1) D Ofosuhene,Job Stress and Human Resources Development,2020,NF
"(1) SY Danso, Y Ma, YDA Adjakloe, IY Addo",Application of an index-based approach in geospatial techniques for the mapping of flood hazard areas: a case of cape coast metropolis in Ghana,2020,NO
"(2) AE Setorwofia, JE Nana Otoo, EA Arko, YA Adjakloe, TK Ojo","Self-reported pedestrian knowledge of safety by school children in cape coast metropolis, Ghana",2020,NF
"(2) YDA Adjakloe, ENK Boateng, F Agyapong, S Aboagye Osei, C Koranteng, ...",Gendered perspective on road crossing behaviors: A study of university of cape coast students,2020,NO
"(2) LK Dadzie, J Amo-Adjei, K Esia-Donkoh",Women Empowerment and Frequency of Meal Intake among Children in Ghana,2020,NO
"(2) S Amissah-Essel, JE Hagan Jr, T Schack",Assessing the quality of physical environments of early childhood schools within the Cape Coast metropolis in Ghana using a sequential explanatory mixed-methods design,2020,NO
(1) S Amissah-Essel,"Assessment of institutional health and safety practices of early years schools in Cape Coast Metropolis, Ghana: a mixed methods approach",2020,NO
"(2) AA Owusu, C Cobbold",Factors that influence learning strategy use among senior high school Economics students in Ghana: A quantitative approach,2020,NO
"(2) AA Owusu, E Larbie, C Bukari",Is grit the best predictor of University Students’ academic achievement?,2020,NO
"(2) EE Abano, RS Amoah, C Mbabazi",Microwave and steam blanching as pre-treatments before air drying of Moringa oleifera leaves,2020,NO
"(2) F Kumi, J Ampah, RS Amoah, AH Andoh-Odoom, M Kodua",Performance evaluation of a chimney solar dryer for Habanero pepper (Capsicum chinense Jacq),2020,NO
"(1) Elizabeth N. Oge, Ernest Obese, Robert P. Biney, Emmanuel Adakudugu, Mary ...",A review of pharmacological effects of xylopic acid,2020,NO
"(1) KB Douglas Yeboah, Paul Nyagorme","Mobile Learning Support inDelivering Distance Education: Perception of Students ofUniversity of CapeCoast,Ghana",2020,NF
"(1) PD Paul Nyagorme, Ph.D & Eugene Yaw Milledzi","Research Liminalities and Graduation Rates of Doctoral Students at the University of Cape Coast, Ghana",2020,NF
"(2) S Tenkorang, LD Forde, E Nyarko-Sampson",Academic and Personal-Social Adjustment Challenges of University of Cape Coast Freshmen,2020,NO
"(1) G Yeboah, E Nyarko-Sampson, LD Forde",Knowledge on classroom behaviour modification techniques of pre-service teachers of colleges of education in Ghana,2020,NO
"(2) R Holm-Adzovie, JK Essuman, E Nyarko-Sampson","Receptive Learning Styles of Introverts, Ambiverts and Extroverts in Senior High Schools in Sekondi-Takoradi Metropolis",2020,NO
