authors,title,year,scholar_link
"(1) M Bryant, Isaac Mbir and Osei-Marfo",Innovative Designs in Household Biogas Digester in Built Neighbourhoods,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=EBR_FuAAAAAJ&pagesize=100&citation_for_view=EBR_FuAAAAAJ:MXK_kJrjxJIC
"(1) KKE Kukuia, JA Mensah, P Amoateng, D Osei-Safo, AE Koomson, J Torbi, ...",Glycine/NMDA Receptor Pathway Mediates the Rapid-onset Antidepressant Effect of Alkaloids From Trichilia Monadelpha,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=m5mbRv0AAAAJ&pagesize=100&citation_for_view=m5mbRv0AAAAJ:uWQEDVKXjbEC
"(2) K Asiedu, S Kyei, M Adanusa, RKD Ephraim, S Animful, SK Ali-Baya, ...","Dry eye, its clinical subtypes and associated factors in healthy pregnancy: a cross-sectional study",2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=7akRmcoAAAAJ&pagesize=100&citation_for_view=7akRmcoAAAAJ:tzM49s52ZIMC
"(2) S Kyei, K Asiedu, RKD Ephraim, S Animful, M Adanusa, SK Ali-Baya, ...",Meibomian gland dysfunction and lipid profile: a study among pregnant women,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=UB1ZAx8AAAAJ&pagesize=100&citation_for_view=UB1ZAx8AAAAJ:_xSYboBqXhAC
"(1) EKM Edzie, K Dzefi-Tettey, PN Gorleku, FN Ghartey, M Adanusa, ...","Advancing Age in Africa, the Urgent Need for Institutional Geriatric Care in a Low Resource Setting: A Case Report",2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=5aZOjYQAAAAJ&pagesize=100&citation_for_view=5aZOjYQAAAAJ:O3NaXMp0MMsC
"(2) EKM Edzie, K Dzefi-Tettey, PN Gorleku, FN Ghartey, M Adanusa, ...","Advancing age in Africa, the urgent need for institutional geriatric care in a low resource setting: a case report",2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pxeBHywAAAAJ&pagesize=100&citation_for_view=pxeBHywAAAAJ:M3NEmzRMIkIC
"(3) G Adjei, EKM Darteh, OEA Nettey, DT Doku",Neonatal mortality in the central districts of Ghana: analysis of community and composition factors,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ezJviOEAAAAJ&pagesize=100&citation_for_view=ezJviOEAAAAJ:mKu_rENv82IC
"(2) F Pappoe, SV Nuvor",Host-Microbial Relationship: Immune Response to Microbial,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dxOwD14AAAAJ&pagesize=100&citation_for_view=dxOwD14AAAAJ:_FxGoFyzp5QC
"(1) AP Asimah, O Imoro",Developing ICT Competencies: New Skill Sets for Excellent Customer Service in Academic Libraries,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Zqtpw08AAAAJ&pagesize=100&citation_for_view=Zqtpw08AAAAJ:W7OEmFMy1HYC
"(1) D Nii-Okai, E Acheampong, I Mahama, KJ Mensah, O Imoro, R Marfo, ...",Sandwich Model of Educational Upgrading in Ghana: A Transitional Challenge in Disguise,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Zqtpw08AAAAJ&pagesize=100&citation_for_view=Zqtpw08AAAAJ:Tyk-4Ss8FVUC
