authors,title,year,dric
"(6) I Henneh, R Biney, S Acheampong, E Obese, F Armah, E Ameyaw, ...","ANTI-EPILEPTOGENIC ACTIVITY OF ZIZIPHUS ABYSSINICA ROOT BARK EXTRACT AND ITS ISOLATED BIOACTIVE COMPOUND, Β-AMYRIN",2023,NO
"(7) M Antwi-Adjei, E Obese, EA Adakudugu, IT Henneh, RP Biney, ...",Modulating Effects of the Hydroethanolic Leaf Extract of Persicaria lanigera R. Br. Soják (Polygonaceae) against Acute Inflammation,2023,NO
"(2) JF Powell, IT Henneh, M Ekor","Knowledge, attitude and practice of physicians and nurses at the cape coast teaching hospital in the Central Region of Ghana on spontaneous adverse drug reaction reporting",2023,NO
"(3) SM Arhin, KB Mensah, EK Agbeno, IT Henneh, DA Azize, A Boateng, ...",Pharmacotherapy for Infertility in Ghana: A Prospective Study on Prescription Patterns and Treatment Outcomes among Women undergoing Fertility Treatment,2023,NO
"(7) M Antwi-Adjei, E Obese, EA Adakudugu, IT Henneh, RP Biney, ...",Modulating Effects of the Hydroethanolic Leaf Extract of Persicaria lanigera R. Br. Sojak (Polygonaceae) against Acute Inflammation,2023,NF
"(1) JKE Edumadze, KA Barfi, V Arkorful, NO Baffour Jnr",Undergraduate student's perception of using video conferencing tools under lockdown amidst COVID-19 pandemic in Ghana,2023,NO
"(2) KA Barfi, V Arkorful, F Appiah, EM Agyapong, E Acheampong",The impact of blended learning on students using the IBOX platform: Initial perspectives of teachers,2023,NO
"(1) F Arthur, V Arkorful, I Salifu, S Abam Nortey",Digital paradigm shift: Unraveling students’ intentions to embrace Tablet-based Learning through an extended UTAUT2 model,2023,NO
"(1) V Arkorful, KA Arthur, EA Nyarko, MO Koranteng",Gender-Based Analysis of Senior High School teacher's ICT Attitudes and Integration,2023,NO
(1) M Ofosu-Koranteng,Behind closed doors: women experiencing rising family violence amidst COVID-19 lockdown in Ghana,2023,NO
"(1) I Nketsiah, O Imoro, A Barfie","Postgraduate students’ perception of plagiarism, awareness and use of Turnitin text-matching software",2023,NO
"(3) KA Barfi, SK Parbie, CK Filson, MV Teye, K Kodua-Ntim, E Ayensu",Assessing the quality of services at an academic library,2023,NO
"(2) KA Barfi, FK Opoku",Technology Integration in the Teaching of Human Resource Management by Practicing Lecturers.,2023,NO
"(5) T Ocran, KA Barfi, K Kodua-Ntim, PNY Kwafoa, CK Filson",Leveraging social media in digital scholarship: Perspective from developing country students,2023,NO
"(3) I Nketsiah, O Imoro, KA Barfi, E Amoah, CR Amenorvi",Academic integrity: Do socio-demographic differences in perception and awareness of plagiarism matter?,2023,NO
"(2) KA Barfi, CK Filson",A qualitative investigation of doctoral students experience with mobile devices,2023,NO
"(1) G Tachie-Donkor, IJ Ezema",Effect of information literacy skills on university students’ information seeking behaviour and lifelong learning,2023,NO
"(1) G Tachie-Donkor, IJ Ezema",Assessment of information literacy course for undergraduate students in higher education,2023,NO
"(1) AS Bockarie, YA Nartey, P Nsiah, EKM Edzie, D Tuoyire, S Acquah, ...",Fatty liver biomarkers and insulin resistance indices in the prediction of non-alcoholic fatty liver disease in Ghanaian patients,2023,NO
"(4) AS Bockarie, YA Nartey, P Nsiah, EKM Edzie, D Tuoyire, S Acquah, ...",Fatty liver biomarkers and insulin resistance indices in the prediction of non‐alcoholic fatty liver disease in Ghanaian patients,2023,NO
"(3) CA Adongo, DA Tuoyire, M Azuug, AB Appiah, F Taale, I Amadu",Decolonising vaccine production: Unpacking Ghanaians’ support for made-in-Africa vaccines,2023,NO
"(5) D Takyiakwaa, DA Tuoyire, SA Abraham, EA Agyare, JO Amoah, ...",Culture and pandemic control at cross-roads: navigating the burial guidelines for COVID-19-related deaths in a Ghanaian setting,2023,YES
"(1) D Takyiakwaa, DA Tuoyire, SA Abraham, EA Agyare, JO Amoah, ...",Culture and pandemic control at cross-roads: navigating the burial guidelines for COVID-19-related deaths in a Ghanaian setting,2023,YES
"(2) DA Tuoyire, J Amo-Adjei","Preceding birth interval, timing and number of antenatal contacts in Africa, 2010–2020",2023,NO
"(3) CA Adongo, DA Tuoyire, M Azuug, AB Appiah, F Taale, I Amadu",Vaccine: X,2023,NF
(1) R Biney,DITERPENES AS SCAFFOLDS FOR NOVEL AGENTS AGAINST CNS DISORDERS,2023,NO
"(3) JP Deikumah, RP Biney, JK Awoonor-Williams, MK Gyakobo","Compendium of medically important snakes, venom activity and clinical presentations in Ghana",2023,NO
"(2) RO Ntiri, S Appiah-Boateng, F Koomson",Beyond the numbers: Group formation in the artisanal and small-scale mining in Ghana,2023,NO
"(2) S Appiah-Boateng, KN Bukari",Coping strategies for victims of farmer–herder conflicts in Ghana.,2023,NO
"(2) JS Boateng, MSB Mensah, I Kosi, S Appiah-Boateng, MB Osei",Digitalization of Business Operations and Empowerment of Female Entrepreneurs,2023,NO
"(1) JS Boateng, MSB Mensah, I Kosi, S Appiah-Boateng, MB Osei",Digitalization of Business Operations and Empowerment of Female Entrepreneurs,2023,NO
"(2) O Boampong, S Appiah-Boateng, NY Osei, R Ametefe",Commercial Surrogacy: Invisible Reproductive Workers in Ghana,2023,NO
"(1) P Osei-Kufuor, KN Bukari, R Ametefe, S Appiah-Boateng, A Quarshie",We know what we do”: An agency-structure analysis of political vigilantism in Ghana.,2023,NF
"(3) P Osei-Kufuor, R Ametefe, S Appiah-Boateng, KN Bukari, A Quarshie",“We know what we do”: an agency-structure analysis of political vigilantism in Ghana,2023,NO
"(1) A Niang, L Sountoura, K Bukari, I Bellwood-Howard, P Taylor",Collaborative Art-Making for Deliberation in Africa,2023,NO
(1) KN Bukari,"Violent farmer–herder conflicts in Ghana: Constellation of actors, citizenship contestations, land access and politics",2023,NO
"(1) I Boas, C Farbotko, KN Bukari",The bordering and rebordering of climate mobilities: Towards a plurality of relations,2023,NO
"(4) KN Bukari, R Ametefe, P Osei-Kufuor, RJ Imoro",Actors and Networks Embedded in Political Vigilante Groups in Ghana,2023,NO
"(1) I Bellwood-Howard, P Taylor, A Niang, KN Bukari, E Kioko, PW Wangai, ...",Les arts dans le dialogue et la communication sur l’environnement en Afrique de l’Ouest et de l’Est (The Arts in Environmental Dialogue and Communication in West and East Africa),2023,NO
"(1) KN Bukari, SB Kendie, AB Stephen, P Osei-Kufuor",Social network dynamics of Fulbe in Northern Ghana,2023,NF
(1) KN Bukari,Actors and Social Networks in Farmer-Herder Relations in Ghana,2023,NF
"(3) RJ Imoro, KN Bukari, R Ametefe","Experiences, Expectations and Challenges of Return: Liberian Refugees in Ghana",2023,NF
