authors,title,year,scholar_link
"(2) IK Vorsah Amponsah, D Addo-Mensah, M Anokye, R Babah, I Etsiwah",THE EFFECT OF PRACTICAL WORK AND MOTIVATION ON STUDENTS’ DESIRE TO STUDY STEM SUBJECTS,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pAH-l6sAAAAJ&pagesize=100&citation_for_view=pAH-l6sAAAAJ:IjCSPb-OGe4C
"(2) IK Amponsah, D Addo-Mensah, M Anokye, R Babah, I Etsiwah",The effect of practical work and motivation on students’ desire to study stem subjects,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=US4H0LUAAAAJ&pagesize=100&citation_for_view=US4H0LUAAAAJ:u5HHmVD_uO8C
(1) D ADDO-MENSAH,CHALLENGES TO EFFECTIVE DIABETES SELF-MANAGEMENT; A CASE STUDY OF KOMFO ANOKYE TEACHING HOSPITAL,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=US4H0LUAAAAJ&pagesize=100&citation_for_view=US4H0LUAAAAJ:u-x6o8ySG0sC
"(5) NI Ebu, S Amissah-Essel, C Asiedu, S Akaba, KA Pereko",Impact of health education intervention on knowledge and perception of cervical cancer and screening for women in Ghana,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=wKxG-uAAAAAJ&pagesize=100&citation_for_view=wKxG-uAAAAAJ:WF5omc3nYNoC
(1) S Amissah-Essel,"Determinants of Health and Safety Conditions of Early Childhood Care and Development Centres in Cape Coast Metropolis, Ghana",2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=lLiMgqEAAAAJ&pagesize=100&citation_for_view=lLiMgqEAAAAJ:LkGwnXOMwfcC
"(1) I Asiamah, ES Krol",Triple Quadrupole-Linear Ion Trap Mass Spectrometry (QqQLIT-MS) Approach For Distinguishing Between Aromatic And Benzylic Glutathione Conjugates,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=aJFr4pAAAAAJ&pagesize=100&citation_for_view=aJFr4pAAAAAJ:ufrVoPGSRksC
"(1) I Asiamah, ES Krol",Quadrupole linear ion-trap mass spectrometry studies on glutathione conjugates of nordihydroguaiaretic acid (NDGA) analogues reveals phenol-type analogues are without reactive …,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=aJFr4pAAAAAJ&pagesize=100&citation_for_view=aJFr4pAAAAAJ:d1gkVwhDpl0C
"(1) PMASSS Shemmira Yunus, Baah Sefa-Ntiri,* , Benjamin Anderson, Francis Kumi",Quantitative Pore Characterization of Polyurethane Foam with Cost-E?ective Imaging Tools and Image Analysis: A Proof-Of-Principle Study,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rxWR7hQAAAAJ&pagesize=100&citation_for_view=rxWR7hQAAAAJ:f2IySw72cVMC
"(1) S Antwi, A Bansah, T Franklin",The Information Technology Challenge in Teaching Senior High School Geography in Ghana,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=7LAjI6QAAAAJ&pagesize=100&citation_for_view=7LAjI6QAAAAJ:Tyk-4Ss8FVUC
"(1) AK Bansah, DR Moore, DH Holben",The effect of message emotion and logic on nutritional attitude change as measured by argumentation style in an online nutrition class,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=7LAjI6QAAAAJ&pagesize=100&citation_for_view=7LAjI6QAAAAJ:zYLM7Y9cAGgC
"(1) B Kwakye-Awuah, B Sefa-Ntiri, E Von-Kiti, I Nkrumah, C Williams",Adsorptive removal of iron and manganese from groundwater samples in ghana by zeolite Y synthesized from bauxite and kaolin,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rxWR7hQAAAAJ&pagesize=100&citation_for_view=rxWR7hQAAAAJ:dfsIfKJdRG4C
"(1) E Neumann, I Nkrumah",Positive and negative priming between languages in two bilingual groups,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:IjCSPb-OGe4C
"(1) B Kwakye-Awuah, R Kwakye, B Sefa-Ntiri, I Nkrumah, E Von-Kiti, ...",Comparison of the recycling efficiency of metakaolin and laboratory-synthesized zeolite types LTA and LSX on used lubricant engine oil,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rxWR7hQAAAAJ&pagesize=100&citation_for_view=rxWR7hQAAAAJ:D03iK_w7-QYC
"(1) E Neumann, I Nkrumah, Z Chen",Second language proficiency effects on cross-language positive and negative priming in Twi-English bilinguals,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:qjMakFHDy7sC
"(1) B Kwakye-Awuah, E Von-Kiti, I Nkrumah, B Sefa-Ntiri, CD Williams",Synthesis of zeolites from bauxite and kaolin: effect of synthesis parameters on competing phases,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rxWR7hQAAAAJ&pagesize=100&citation_for_view=rxWR7hQAAAAJ:a0OBvERweLwC
"(1) E Neumann, I Nkrumah","Cross-language positive and negative priming effects reverse when priming manipulations proceed from L2 to L1, compared with L1 to L2.",2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:9yKSN-GCB0IC
"(1) E Neumann, IK Nkrumah",Reversal of typical processing dynamics in positive and negative priming using a non-dominant to dominant cross-language lexical manipulation,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:u5HHmVD_uO8C
"(1) IK Nkrumah, E Neumann","Cross-language negative priming remains intact, while positive priming disappears: Evidence for two sources of selective inhibition",2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:u-x6o8ySG0sC
"(1) E Neumann, IK Nkrumah, Z Chen",Excitatory and inhibitory priming by attended and ignored non-recycled words with monolinguals and bilinguals,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:2osOgNQ5qMEC
(1) KA Nkyi,Correlation and gender difference among loneliness. Substance use and purpose in life of senior high school students in Ghana,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=OTQ08NAAAAAJ&pagesize=100&citation_for_view=OTQ08NAAAAAJ:4TOpqqG69KYC
(1) KA Nkyi,Ghanaian Cultural Myth of Death,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=OTQ08NAAAAAJ&pagesize=100&citation_for_view=OTQ08NAAAAAJ:UebtZRa9Y70C
(1) KA Nkyi,The African usage of existential psychotherapy,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=OTQ08NAAAAAJ&pagesize=100&citation_for_view=OTQ08NAAAAAJ:Se3iqnhoufwC
