authors,title,year,scholar_link
(1) J Afful,Enhancing doctoral research education through the institution of graduate writing courses in Ghanaian universities,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ZWiaX-cAAAAJ&pagesize=100&citation_for_view=ZWiaX-cAAAAJ:qUcmZB5y_30C
"(1) PKBB Peter Osei-Wusu Adueming, Moses Jojo Eghan, Benjamin Anderson, Samuel ...",Multispectral Imaging in Combination with Multivariate Analysis Discriminates Selenite Induced Cataractous Lenses from Healthy Lenses of Sprague-Dawley Rats,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=UB1ZAx8AAAAJ&pagesize=100&citation_for_view=UB1ZAx8AAAAJ:iH-uZ7U-co4C
"(1) PKBB Peter Osei-Wusu Adueming1, Moses Jojo Eghan, Benjamin Anderson, Samuel ...",Multispectral Imaging in Combination with Multivariate Analysis Discriminates Selenite Induced Cataractous Lenses from Healthy Lenses of Sprague-Dawley Rats,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=IY1kG7cAAAAJ&pagesize=100&citation_for_view=IY1kG7cAAAAJ:4fGpz3EwCPoC
"(1) CLYASSS Jerry Opoku-Ansah, Benjamin Anderson, Moses J. Eghan, Peter Osei ...",A Retrofitted Metallurgical Microscope Using Light Emitting Diodes for Multi-Spectral Imaging,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=IY1kG7cAAAAJ&pagesize=100&citation_for_view=IY1kG7cAAAAJ:_FM0Bhl9EiAC
"(1) AO Andrew Atiogbe Huzortey, Benjamin Anderson",A Composite Algorithm for Optimized Baseline Correction in Raman Spectroscopy,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=IY1kG7cAAAAJ&pagesize=100&citation_for_view=IY1kG7cAAAAJ:9pM33mqn1YgC
"(1) AO Andrew Huzortey, Benjamin Anderson",Designed and Developed Low Cost Raman Spectroscopic System,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=IY1kG7cAAAAJ&pagesize=100&citation_for_view=IY1kG7cAAAAJ:rmuvC79q63oC
"(1) DOA Kwame Agyei Frimpong, Elvis Asare-Bediako, Ransford Amissah",Influence of Compost on Incidence and Severity of Okra Mosaic Disease and Fruit Yield and Quality of Two Okra (Abelmoschus esculentus L. Moench) Cultivars,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=WUHO500AAAAJ&pagesize=100&citation_for_view=WUHO500AAAAJ:qUcmZB5y_30C
"(1) MJERC Elvis Asare-Bediako, Faustina Agyarko, Martin Verbeek, Kingsley J ...",Variation in the susceptibility of okra (Abelmoschus esculentus L. Moench) genotypes to okra mosaic virus and Podagrica species under field conditions,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zcBUTl0AAAAJ&pagesize=100&citation_for_view=zcBUTl0AAAAJ:WF5omc3nYNoC
"(1) SY Aboagye, P Asare, ID Otchere, E Koka, GE Mensah, D Yirenya-Tawiah, ...",Environmental and behavioral drivers of Buruli ulcer disease in selected communities along the Densu River basin of Ghana: a case-control study,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=RufNfRwAAAAJ&pagesize=100&citation_for_view=RufNfRwAAAAJ:qjMakFHDy7sC
"(1) IVYKN EMMANUEL KOFI GYIMAH, ALBERT JUSTICE KWARTENG, ERIC ANANE","Lecturers Perception on Students’ Appraisal of Courses and Teaching: A Case of University of Cape Coast, Ghana",2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_AHylg8AAAAJ&pagesize=100&citation_for_view=_AHylg8AAAAJ:Tyk-4Ss8FVUC
"(1) K Oduro-Appiah, A Scheinberg, A Mensah, A Afful, HK Boadu, N de Vries","Assessment of the municipal solid waste management system in Accra, Ghana: A ‘Wasteaware’benchmark indicator approach",2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=p14GlO0AAAAJ&pagesize=100&citation_for_view=p14GlO0AAAAJ:9yKSN-GCB0IC
